City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
164,Olafsvik,IS,64.8945,-23.7142,51.62,81,100,15.08,overcast clouds
165,Broome,US,42.2506,-75.833,82.69,38,2,3.0,clear sky
166,General Roca,AR,-39.0333,-67.5833,43.63,85,100,15.05,overcast clouds
167,Qaanaaq,GL,77.484,-69.3632,50.45,61,87,8.19,overcast clouds
168,Karlovo,BG,42.6333,24.8,83.61,40,1,3.76,clear sky
169,Geilo,NO,60.5333,8.2076,53.56,63,12,13.56,few clouds
170,San Quintin,MX,30.4833,-115.95,73.44,67,2,12.55,clear sky
171,Roald,NO,62.5833,6.1333,57.33,71,40,5.75,scattered clouds
172,Klaksvik,FO,62.2266,-6.589,50.92,74,9,8.21,clear sky
173,Gat,IL,31.61,34.7642,80.82,100,0,6.8,clear sky
174,Waitati,NZ,-45.75,170.5667,42.8,67,9,6.02,clear sky
175,Hualmay,PE,-11.0964,-77.6139,64.56,73,39,14.61,scattered clouds
176,Manzhouli,CN,49.6,117.4333,62.22,99,100,4.12,overcast clouds
177,New Norfolk,AU,-42.7826,147.0587,45.91,81,100,2.95,overcast clouds
178,Tomakomai,JP,42.6369,141.6033,66.34,82,75,10.36,light intensity shower rain
179,Marsh Harbour,BS,26.5412,-77.0636,82.83,72,100,14.52,overcast clouds
180,Baruun-Urt,MN,46.6806,113.2792,60.19,90,100,8.7,light rain
181,Talnakh,RU,69.4865,88.3972,54.21,69,7,1.61,clear sky
182,Quatre Cocos,MU,-20.2078,57.7625,69.91,79,92,17.76,light rain
183,Saint-Philippe,RE,-21.3585,55.7679,65.79,84,56,13.53,light rain
184,Krasnoarmeysk,RU,51.0239,45.6969,64.2,68,0,4.88,clear sky
185,Otaru,JP,43.1894,141.0022,66.02,87,100,9.44,light rain
186,Geraldton,AU,-28.7667,114.6,54.01,94,75,9.22,broken clouds
187,Severo-Kurilsk,RU,50.6789,156.125,53.49,96,70,10.02,broken clouds
188,Lodja,CD,-3.4833,23.4333,79.88,48,67,3.56,broken clouds
