City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
211,Grand Baie,MU,2022-07-11 21:34:32,-20.0182,57.5802,70.45,71,4,5.99
212,Palmer,US,2022-07-11 21:39:20,42.1584,-72.3287,87.4,44,40,14.97
213,Moberly,US,2022-07-11 21:39:20,39.4184,-92.4382,94.42,58,40,6.91
214,Georgetown,MY,2022-07-11 21:39:21,5.4112,100.3354,78.89,92,20,3.44
215,Lakes Entrance,AU,2022-07-11 21:39:21,-37.8811,147.981,42.17,75,100,4.36
216,Yumen,CN,2022-07-11 21:39:22,40.2833,97.2,68.09,26,22,4.94
217,Inuvik,CA,2022-07-11 21:39:22,68.3499,-133.7218,67.21,85,100,3.44
218,Jiayuguan,CN,2022-07-11 21:39:23,39.8167,98.3,67.8,27,2,4.36
219,Tura,IN,2022-07-11 21:36:28,25.5198,90.2201,74.82,90,11,4.79
220,Christchurch,NZ,2022-07-11 21:39:23,-43.5333,172.6333,47.91,93,100,18.41
221,Viedma,AR,2022-07-11 21:39:24,-40.8135,-62.9967,39.47,67,46,5.53
222,Cherskiy,RU,2022-07-11 21:39:24,68.75,161.3,72.16,34,94,9.78
223,Kenai,US,2022-07-11 21:39:25,60.5544,-151.2583,72.03,60,0,6.91
224,Urcos,PE,2022-07-11 21:39:25,-13.6861,-71.6228,71.49,53,27,8.16
225,Bowen,AU,2022-07-11 21:39:26,-20.0167,148.2333,61.23,83,65,6.64
226,Yeppoon,AU,2022-07-11 21:39:26,-23.1333,150.7333,53.38,67,93,6.46
227,Bengkulu,ID,2022-07-11 21:39:27,-3.8004,102.2655,74.07,90,100,3.67
228,Contai,IN,2022-07-11 21:39:27,21.7786,87.7536,81.97,87,55,13.38
229,Sidi Ali,DZ,2022-07-11 21:39:28,36.0998,0.4206,77.83,49,0,6.98
230,New Norfolk,AU,2022-07-11 21:30:40,-42.7826,147.0587,45.9,87,83,1.77
231,College,US,2022-07-11 21:40:28,64.8569,-147.8028,64.35,82,100,0.0
232,Kavieng,PG,2022-07-11 21:40:29,-2.5744,150.7967,82.38,78,97,14.38
233,Odweyne,SO,2022-07-11 21:40:29,9.4092,45.064,68.29,62,93,19.82
234,Ulladulla,AU,2022-07-11 21:40:30,-35.35,150.4667,45.95,76,100,4.16
235,Esso,RU,2022-07-11 21:40:30,55.9333,158.7,78.84,61,8,2.75
236,Sandakan,MY,2022-07-11 21:40:31,5.8402,118.1179,76.68,83,20,5.01
237,Bonfim,BR,2022-07-11 21:40:31,3.0833,-59.95,81.21,76,61,5.46
238,Iqaluit,CA,2022-07-11 21:40:32,63.7506,-68.5145,58.73,58,75,5.75
239,Coihaique,CL,2022-07-11 21:38:05,-45.5752,-72.0662,28.35,86,75,2.3
240,Nome,US,2022-07-11 21:40:33,64.5011,-165.4064,61.16,88,100,4.61
241,Juterbog,DE,2022-07-11 21:40:33,51.9833,13.0833,63.18,70,94,1.23
242,Padang,ID,2022-07-11 21:31:49,-0.9492,100.3543,75.25,90,71,3.74
243,Port Elizabeth,ZA,2022-07-11 21:40:34,-33.918,25.5701,53.31,84,0,4.61
244,Safita,SY,2022-07-11 21:40:34,34.8205,36.1153,70.07,83,1,3.18
245,Berlevag,NO,2022-07-11 21:40:35,70.8578,29.0864,51.8,93,100,8.05
246,Leningradskiy,RU,2022-07-11 21:40:36,69.3833,178.4167,48.02,58,2,10.11
247,Santokhgarh,IN,2022-07-11 21:40:36,31.3667,76.3167,81.27,79,55,3.74
248,Port Keats,AU,2022-07-11 21:40:37,-14.25,129.55,58.71,39,15,11.52
249,Woodward,US,2022-07-11 21:40:37,36.4337,-99.3904,110.97,15,0,5.75
250,Qasigiannguit,GL,2022-07-11 21:40:38,68.8193,-51.1922,44.85,84,90,3.13
251,Comana,RO,2022-07-11 21:40:38,44.1706,26.145,70.21,46,71,1.19
252,Muncar,ID,2022-07-11 21:40:39,-8.4333,114.3333,76.26,92,75,7.09
253,Luderitz,NA,2022-07-11 21:40:39,-26.6481,15.1594,56.3,67,0,15.52
